Terrane Minor,Terrane,lat,Lon,Location 1,Location 2,Lithostrat 1,Lithostrat 2,"m,I,v",Age,2_ error,Technique,Reference
Unst-Fetlar,Laurentia Hebridean,60.725364,-1.0119675,"Yell, Shetland",SH12-04,Cullivoe Gneiss,metagabbro,i,2699,48,U-Pb zircon,Jahn et al. 2017
Unst-Fetlar,Laurentia Hebridean,60.725364,-1.0119675,"Yell, Shetland",SH12-04,Cullivoe Gneiss,metagabbro,m,944,52,U-Pb zircon,Jahn et al. 2017
Unst-Fetlar,Laurentia Hebridean,60.725364,-1.0119675,"Yell, Shetland",SH12-16,Cullivoe Gneiss,orthogneiss,m,931,29,U-Pb zircon,Jahn et al. 2017
Hebridean,Laurentia Hebridean,58.38913,-5.0244832,Sutherland,Loch na Fincail GST7,Lewisian Complex,grey gneiss,m,1729,36,U-Pb titanite,Kinny & Friend 1997
Hebridean,Laurentia Hebridean,58.334923,-5.1480078,Sutherland,Upper Badcall GST15,Lewisian Complex,pyroxenite,m,2470,30,U-Pb zircon,Kinny & Friend 1997
Hebridean,Laurentia Hebridean,58.398534,-5.1194435,Sutherland,Fanagmore GST21,Lewisian Complex,Granodioritic gneiss,i,2764,12,U-Pb zircon,Friend & Kinny 2001
Hebridean,Laurentia Hebridean,58.387255,-5.0277452,Sutherland,Laxford Brae GST24,Lewisian Complex,Granite sheet,i,1854,13,U-Pb zircon,Friend & Kinny 2001
Hebridean,Laurentia Hebridean,57.998495,-7.0965344,North Harris,Sound of Scarp OH9818,Lewisian Complex,Migmatitic gneiss,i,3125,14,U-Pb zircon,Friend & Kinny 2001
Hebridean,Laurentia Hebridean,57.998495,-7.0965344,North Harris,Sound of Scarp OH9818,Lewisian Complex,Migmatitic gneiss,m,1672,8,U-Pb zircon,Friend & Kinny 2001
Hebridean,Laurentia Hebridean,57.998495,-7.0965344,North Harris,Sound of Scarp OH9817,Lewisian Complex,Granite sheet,i,1683,9,U-Pb zircon,Friend & Kinny 2001
Hebridean,Laurentia Hebridean,57.958003,-6.7488907,North Harris,Loch Seaforth OH951,Lewisian Complex,Tonalitic gneiss,i,2834,14,U-Pb zircon,Friend & Kinny 2001
Hebridean,Laurentia Hebridean,57.834858,-7.0261188,South Harris,Bagh Stienigie OH9811,Lewisian Complex,Metasediment,m,1880,10,U-Pb zircon,Friend & Kinny 2001
Hebridean,Laurentia Hebridean,58.680513,-7.0732915,South Harris,Loch Meurach OH952,Lewisian Complex,Granite sheet,i,1674,3,U-Pb zircon,Friend & Kinny 2001
Hebridean,Laurentia Hebridean,57.810838,-7.0868258,South Harris,Northton OH9812,Lewisian Complex,Metasediment,m,1887,7,U-Pb zircon,Friend & Kinny 2001
Hebridean,Laurentia Hebridean,57.319185,-7.3345528,Uist,,Lewisian Complex,grey gneiss,m,2690,140,Rb-Sr,Moorbath et al. 1975
Hebridean,Laurentia Hebridean,57.319185,-7.3345528,Uist,,Lewisian Complex,grey gneiss,m,2640,120,Pb-Pb,Moorbath et al. 1975
Hebridean,Laurentia Hebridean,57.855159,-5.4750802,Highland,Gruinard Bay,Lewisian Complex,trondhjemite,m,2728,2,U-Pb zircon,Corfu et al. 1998
Hebridean,Laurentia Hebridean,57.855159,-5.4750802,Highland,Gruinard Bay,Lewisian Complex,granite,m,2732,4,U-Pb zircon,Corfu et al. 1998
